City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
504,Tual,ID,82.72,light rain,-5.67,132.75,Grand Vilia Hotel
505,Yulara,AU,82.62,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
508,Tahta,EG,73.06,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
512,Ribas Do Rio Pardo,BR,80.02,scattered clouds,-20.44,-53.76,Ataíde Martins
513,Touros,BR,78.51,overcast clouds,-5.2,-35.46,INN NEW HORIZON
516,Takoradi,GH,77.67,light rain,4.88,-1.76,Raybow International Hotel
518,Tawau,MY,77.0,moderate rain,4.25,117.89,Shervinton Executive Boutique Hotel
519,Ambon,ID,82.99,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
520,Ambulu,ID,77.22,broken clouds,-8.35,113.61,Hotel Ambulu Jember
527,Sao Miguel Do Araguaia,BR,75.24,overcast clouds,-13.28,-50.16,Hotel Executivo Palace
528,San Francisco,US,75.0,clear sky,37.77,-122.42,The Clift Royal Sonesta Hotel
533,Pombas,CV,75.87,clear sky,17.15,-25.02,POUSADA O RECANTO
534,Wanning,CN,78.33,overcast clouds,18.8,110.4,Paradise Hotel
536,Waingapu,ID,82.09,clear sky,-9.66,120.26,Pondok Wisata Elim
537,Dwarka,IN,79.18,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
542,Sume,BR,75.79,overcast clouds,-7.67,-36.88,pousada sumé II
549,Basco,PH,80.87,overcast clouds,20.45,121.97,Nathaniel's Lodge
553,Matara,LK,76.44,broken clouds,5.95,80.54,Amaloh Boutique Resort
554,Santa Barbara,US,72.0,clear sky,34.73,-120.03,Upper Ballard Campground
555,Puerto Cabezas,NI,80.67,overcast clouds,14.04,-83.39,Hotel Caribe
557,Kismayo,SO,79.36,light rain,-0.36,42.55,Agan-Hotel
559,Aquiraz,BR,81.0,clear sky,-3.9,-38.39,Hotel Laguna Blu
560,Palmerston,AU,82.99,clear sky,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
561,North Bend,US,77.0,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
564,Formosa,AR,77.83,scattered clouds,-26.18,-58.18,Asterión Hotel
565,Mogadishu,SO,79.18,scattered clouds,2.04,45.34,Hotel Juba
567,Grajau,BR,82.49,overcast clouds,-5.82,-46.14,Hotel Confiança
568,Kaliua,TZ,75.49,broken clouds,-5.06,31.79,Millennium Complex
572,Karanganom,ID,75.58,overcast clouds,-7.65,110.62,MR Stiker
575,Abu Zabad,SD,80.46,clear sky,12.35,29.25,محي الدين نوري
578,Madison,US,73.99,light rain,34.73,-86.57,Embassy Suites by Hilton Huntsville Hotel & Spa
579,Kang,BW,79.14,clear sky,-23.68,22.79,Kang Ultra Stop
581,Healdsburg,US,81.0,clear sky,38.61,-122.87,Best Western Dry Creek Inn
583,Bambanglipuro,ID,78.04,broken clouds,-7.95,110.28,Puri Brata
588,Bonthe,SL,79.23,light rain,7.53,-12.51,Bonthe Holiday Village
589,Richards Bay,ZA,76.37,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
592,Wilmington,US,73.0,broken clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
593,Kahului,US,82.0,light rain,20.89,-156.47,Maui Seaside Hotel
598,Alta Floresta,BR,79.12,light rain,-9.88,-56.09,Floresta Amazonica Hotel
600,Sarangani,PH,83.23,overcast clouds,5.4,125.46,Ballistic Islet
601,Labuhan,ID,79.32,broken clouds,-6.88,112.21,bador sepret
606,Lazaro Cardenas,MX,83.41,few clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
611,Salaga,GH,79.47,broken clouds,8.55,-0.52,Maridon Lodge
617,Grand Gaube,MU,70.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
618,Kavaratti,IN,81.41,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
627,Moindou,NC,80.35,clear sky,-21.69,165.68,Gite de la RYAWA
628,Dawei,MM,74.23,light rain,14.08,98.2,Hotel Dawei
632,Port Blair,IN,79.66,overcast clouds,11.67,92.75,Fortune Resort Bay Island
633,Soyo,AO,76.93,overcast clouds,-6.13,12.37,Hotel Mpampa
634,Lekoni,GA,70.39,overcast clouds,-1.58,14.26,Rendez-vous Des ChasseursD
635,San Antonio Del Norte,HN,80.01,heavy intensity rain,13.88,-87.7,Hotel Nohemy
637,Oranjestad,AW,83.43,clear sky,12.52,-70.03,Divi Village Golf & Beach Resort
638,Vila Velha,BR,77.7,broken clouds,-20.33,-40.29,Hotel Vitória Palace
641,Kontagora,NG,75.16,clear sky,10.4,5.47,City Gate Inn
644,Auki,SB,84.83,light rain,-8.77,160.7,Auki Motel
646,Guadalupe Victoria,MX,75.99,clear sky,32.29,-115.11,CAPITAL O Hotel Dial
647,Kangaba,ML,75.65,scattered clouds,11.93,-8.42,Hôtel Mandé
654,Sibolga,ID,76.26,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
658,Kudahuvadhoo,MV,82.36,light rain,2.67,72.89,Kudahuvadhoo Retreat
665,Buala,SB,79.36,moderate rain,-8.14,159.59,Maringe Lagoon Lodge
666,Monrovia,LR,79.12,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
669,Moerai,PF,77.31,moderate rain,-22.43,-151.33,Le Manotel
679,Conde,BR,75.15,overcast clouds,-7.26,-34.91,Pousada Beija Flor
680,Santa Rosa,PH,77.0,overcast clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
681,Savannakhet,LA,71.87,overcast clouds,16.57,104.75,โรงแรม ริเวอร์ ฟร้อนท์
682,Diamantino,BR,78.03,overcast clouds,-14.41,-56.45,Hotel Delta
686,Pringsewu,ID,73.6,broken clouds,-5.36,104.97,Urban Style by Front One
687,Sainte-Rose,GP,79.59,overcast clouds,16.33,-61.7,Villa - Duzer
688,Diu,IN,76.08,clear sky,20.71,70.98,Hotel Relax Inn
690,Killin,US,70.38,light rain,33.61,-91.74,Monticello Home
692,Belen,TR,73.0,clear sky,36.49,36.22,Varlıbaş Uyku Sarayı
695,Ahuimanu,US,84.0,moderate rain,21.44,-157.84,Paradise Bay Resort
696,Princeton,US,82.0,scattered clouds,25.54,-80.41,American Best Inn
698,Gambela,ET,71.37,few clouds,8.25,34.58,Solomon Debebe Hotel
700,Kulhudhuffushi,MV,82.04,clear sky,6.62,73.07,Haajy Guest House 1
712,Lumphat,KH,71.35,overcast clouds,13.49,106.98,Lumphat Homestay
715,Belle Glade,US,82.0,broken clouds,26.68,-80.67,Mid-City Trailer Park
