City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Port-Gentil,GA,-0.72,8.78,78.51,86,100,9.06,overcast clouds
178,Beihai,CN,21.48,109.1,72.86,87,100,17.65,overcast clouds
179,Sorland,NO,67.67,12.69,45.27,75,2,15.99,clear sky
180,Nowogard,PL,53.67,15.12,50.0,99,69,1.01,broken clouds
181,Pacific Grove,US,36.62,-121.92,75.0,52,0,5.68,clear sky
182,Faanui,PF,-16.48,-151.75,79.77,81,18,17.65,few clouds
183,Kaihua,CN,23.37,104.28,58.55,88,100,7.96,light rain
184,Kholm,RU,59.27,32.85,47.84,95,96,6.06,overcast clouds
185,Mount Isa,AU,-20.73,139.5,78.1,16,0,13.67,clear sky
186,Tautira,PF,-17.73,-149.15,77.0,83,55,17.0,broken clouds
187,Lesnyye Polyany,RU,55.97,37.87,41.0,32,0,5.3,clear sky
188,Leh,IN,34.17,77.58,28.87,75,0,3.76,clear sky
189,Comodoro Rivadavia,AR,-45.87,-67.5,57.25,36,0,3.44,clear sky
190,Kasongo-Lunda,CD,-6.47,16.82,70.86,93,99,2.64,overcast clouds
191,Graham,US,47.05,-122.29,62.01,77,19,4.23,few clouds
192,Huarmey,PE,-10.07,-78.15,65.55,77,52,9.71,broken clouds
193,Ajdabiya,LY,30.76,20.23,68.61,68,0,8.48,clear sky
194,Quatre Cocos,MU,-20.21,57.76,70.0,77,56,1.99,broken clouds
195,Brawley,US,32.98,-115.53,84.99,17,0,5.01,clear sky
196,Cockburn Town,TC,21.46,-71.14,82.51,77,1,20.54,clear sky
197,Sheridan,US,44.83,-106.92,38.89,81,100,0.76,overcast clouds
198,Port Hedland,AU,-20.32,118.57,75.47,80,0,10.18,clear sky
199,Dezhou,CN,37.45,116.29,53.51,40,100,2.82,light rain
200,Belaya Gora,RU,68.53,146.42,4.3,94,100,5.79,overcast clouds
201,Lagoa,PT,39.05,-27.98,65.34,77,3,10.38,clear sky
202,Tiznit,MA,29.58,-9.5,69.48,39,79,1.66,broken clouds
203,Sovetskiy,RU,61.36,63.58,33.67,97,100,9.31,moderate rain
204,Barkhera,IN,28.45,79.8,64.36,55,0,3.18,clear sky
205,Andrushivka,UA,50.02,29.02,48.11,78,0,4.63,clear sky
206,Maldonado,UY,-34.67,-54.92,59.0,91,89,11.99,overcast clouds
207,Bethel,US,41.37,-73.41,52.0,94,93,5.64,overcast clouds
208,Awjilah,LY,29.11,21.29,64.11,65,0,8.21,clear sky
209,Rovaniemi,FI,66.5,25.72,42.03,93,100,6.96,overcast clouds
210,Hue,VN,16.47,107.6,74.14,90,62,4.81,broken clouds
211,Vilhena,BR,-12.74,-60.15,79.32,68,100,2.68,overcast clouds
212,Chiredzi,ZW,-21.05,31.67,71.67,33,0,6.98,clear sky
213,Assiniboia,CA,49.63,-105.98,35.96,83,95,4.74,overcast clouds
214,Shirokiy,RU,49.76,129.52,29.98,96,76,10.98,broken clouds
215,Archidona,ES,37.1,-4.39,61.0,43,67,3.33,broken clouds
216,Mehamn,NO,71.04,27.85,38.73,86,100,6.93,overcast clouds
217,Vao,NC,-22.67,167.48,72.54,74,0,17.29,clear sky
218,Mindelo,CV,16.89,-24.98,77.41,82,25,14.09,scattered clouds
219,Watsa,CD,3.04,29.54,65.84,99,100,1.45,light rain
220,Barcelona,ES,41.39,2.16,62.01,80,0,5.5,clear sky
221,Namibe,AO,-15.2,12.15,69.22,83,90,7.05,overcast clouds
222,Mayumba,GA,-3.43,10.66,74.98,85,98,2.13,overcast clouds
223,Yerbogachen,RU,61.28,108.01,17.49,87,100,13.24,overcast clouds
224,Enterprise,US,36.03,-115.24,75.0,13,0,2.71,clear sky
225,Manokwari,ID,-0.87,134.08,82.94,67,100,1.54,overcast clouds
226,Saint George,US,37.1,-113.58,73.0,13,1,6.93,clear sky
227,Quelimane,MZ,-17.88,36.89,70.05,89,0,2.93,clear sky
228,Rio Grande,BR,-32.03,-52.1,68.0,94,91,4.45,overcast clouds
229,Cagliari,IT,39.24,9.09,60.01,67,18,14.0,few clouds
230,Lobito,AO,-12.35,13.55,75.92,82,100,9.26,light rain
231,Provideniya,RU,64.38,-173.3,26.38,88,70,1.34,broken clouds
232,Coracao De Jesus,BR,-16.69,-44.37,72.66,83,99,1.36,overcast clouds
233,Hatillo,PR,18.49,-66.83,81.0,94,17,16.64,few clouds
234,Taft,IR,31.75,54.21,44.83,57,0,1.77,clear sky
235,Nalut,LY,30.33,10.85,56.1,54,0,12.91,clear sky
236,Svetlogorsk,BY,52.63,29.73,44.51,80,20,6.49,few clouds
237,El Copey,CO,10.15,-73.96,79.47,78,60,3.62,light rain
238,Tiksi,RU,71.69,128.87,0.25,89,99,17.29,overcast clouds
239,Teguldet,RU,57.31,88.17,21.45,94,100,11.52,overcast clouds
240,Linxia,CN,35.6,103.21,35.19,82,0,1.43,clear sky
241,Grindavik,IS,63.84,-22.43,45.01,69,100,28.63,overcast clouds
242,Carutapera,BR,-1.2,-46.02,79.11,82,38,7.27,scattered clouds
243,Gogosari,RO,43.87,25.7,57.99,93,41,1.01,scattered clouds
244,Kanniyakumari,IN,8.08,77.57,79.29,77,65,5.46,broken clouds
245,Ertil,RU,51.84,40.81,36.41,76,0,7.99,clear sky
246,Coalinga,US,36.14,-120.36,82.99,10,0,1.99,clear sky
247,Ariquemes,BR,-9.91,-63.04,83.86,63,99,2.35,light rain
248,Belyy Yar,RU,53.6,91.39,33.17,87,100,8.68,overcast clouds
249,Whitehorse,CA,60.72,-135.05,28.0,82,90,1.01,overcast clouds
250,Liverpool,GB,53.41,-2.98,50.0,73,53,1.99,broken clouds
251,Caravelas,BR,-17.71,-39.25,78.39,83,100,12.64,light rain
252,Clyde River,CA,70.47,-68.59,14.9,89,96,5.86,overcast clouds
253,Lahij,YE,13.17,44.58,73.06,56,0,1.54,clear sky
254,Port Keats,AU,-14.25,129.55,87.3,60,11,3.06,few clouds
255,Maningrida,AU,-12.07,134.27,83.88,64,26,4.25,scattered clouds
256,Gboko,NG,7.32,9.0,78.04,78,74,7.67,broken clouds
257,Moose Factory,CA,51.26,-80.61,27.25,92,98,7.99,overcast clouds
258,Raudeberg,NO,61.99,5.14,46.0,84,100,26.78,light rain
259,Porbandar,IN,21.64,69.61,77.59,67,0,9.48,clear sky
260,Husavik,IS,66.04,-17.34,39.2,80,20,17.22,few clouds
261,Mayo,US,38.89,-76.51,68.0,99,100,2.35,overcast clouds
